,actual,test
628,1589.04,1391.4241
629,1598.76,1345.7191
630,1594.29,1349.5245
631,1630.31,1359.0178
632,1744.81,1392.5063
633,1746.58,1500.5743
634,1721.64,1493.293
635,1684.762,1458.2727
636,1671.8478,1422.7217
637,1627.57,1403.3043
638,1593.0862,1368.3785
639,1487.8573,1343.0703
640,1414.0271,1259.1082
641,1343.35,1200.9412
642,1285.5156,1154.9412
643,1351.7418,1113.7823
644,1348.6,1189.7913
645,1316.5798,1196.6902
646,1275.86,1166.3457
647,1221.512,1137.4174
648,1244.27,1086.0559
649,1299.58,1110.4451
650,1336.08,1166.8676
651,1298.45,1199.056
652,1288.74,1164.8746
653,1279.1,1152.6846
654,1310.59,1143.8105
655,1295.13,1168.9506
656,1236.5502,1158.6036
657,1222.49,1103.5856
658,1175.33,1094.8014
659,1200.62,1054.6387
660,1250.75,1078.644
661,1227.08,1132.6156
662,1178.63,1108.1624
663,1198.93,1064.9073
664,1198.63,1085.2512
665,1181.5,1084.1348
666,1128.31,1067.1917
667,1117.93,1024.0691
668,1124.77,1014.73895
669,1159.25,1025.0037
670,1086.44,1056.5237
671,1075.74,993.8659
672,1097.91,982.4975
673,1199.5,1009.5744
674,1245.1401,1096.9591
675,1242.26,1141.661
676,1260.95,1131.6669
677,1276.4,1146.1915
678,1336.66,1153.0546
679,1340.17,1201.5468
680,1326.6101,1203.3533
681,1266.55,1184.0964
682,1238.35,1130.131
683,1157.36,1101.4904
684,1192.0999,1033.8645
685,1234.2,1067.8969
686,1231.42,1117.309
687,1266.88,1111.0377
688,1246.04,1147.3357
689,1260.2601,1126.8768
690,1236.8401,1132.9094
691,1283.04,1114.9158
692,1314.07,1151.8064
693,1279.51,1183.787
694,1281.9,1145.974
695,1264.45,1149.0074
696,1331.3,1133.3378
697,1330.7301,1189.8993
698,1324.66,1193.3428
699,1334.76,1180.7817
700,1303.45,1193.397
701,1281.57,1159.6162
702,1237.71,1139.2526
703,1201.71,1103.8624
704,1198.39,1072.197
705,1215.39,1075.7252
706,1220.65,1094.9039
707,1250.4,1102.3972
708,1291.75,1130.6691
709,1320.07,1168.167
710,1300.9,1189.3147
711,1285.91,1168.258
712,1283.7,1150.8606
713,1359.04,1148.0051
714,1412.89,1214.3799
715,1500.41,1263.479
716,1510.58,1335.4904
717,1494.81,1339.5166
718,1470.79,1310.096
719,1479.13,1284.2252
720,1560.67,1285.6122
721,1597.1,1359.922
722,1591.93,1390.8976
723,1683.17,1378.9286
724,1715.91,1456.9027
725,1732.22,1476.1793
726,1846.5101,1475.4578
727,1968.63,1573.9856
728,1921.92,1666.9824
729,1900.27,1602.6013
730,1866.3,1567.57
731,1858.42,1530.594
732,1866.98,1514.405
733,1808.17,1532.1715
734,1718.23,1483.2872
735,1760.04,1408.8048
736,1850.2599,1457.7246
737,1834.57,1546.6172
738,1807.84,1530.5065
739,1785.28,1505.9691
740,1775.14,1484.1368
741,1776.85,1469.448
742,1821.76,1475.9581
743,1790.43,1520.0679
744,1816.02,1492.6604
745,1856.3,1512.2726
746,1947.83,1550.598
747,1936.86,1622.3546
748,1848.5,1606.8269
749,1836.57,1514.1987
750,1732.74,1503.7631
751,1764.56,1413.1938
752,1680.78,1449.0212
753,1664.45,1395.7932
754,1725.07,1381.9038
755,1797.55,1457.6302
756,1897.71,1518.5431
757,1854.54,1606.8247
758,1912.73,1557.3207
759,1999.77,1591.5637
760,1992.13,1663.0696
761,1942.9,1633.8496
762,1951.02,1583.6112
763,1918.7,1586.4799
764,1915.9501,1553.9257
765,1916.25,1553.4535
766,1984.11,1563.632
767,2026.18,1623.5366
768,2034.04,1661.2565
769,2023.24,1657.5386
770,2158.01,1641.0647
771,2331.45,1751.1017
772,2351.13,1893.3608
773,2326.4397,
